rank,company,score,percent,ticker
1,Clorox Company / CLX,100,1.98019802,
2,Prudential Financial / PRU,99,1.96039604,
3,Interpublic Group of Companies / IPG,98,1.940594059,
4,Owens Corning / OC,97,1.920792079,
5,Constellation Energy / CEG**,96,1.900990099,
6,Xylem / XYL,95,1.881188119,
7,Lam Research / LRCX,94,1.861386139,
8,MetLife / MET**,93,1.841584158,
9,S&P Global / SPGI,92,1.821782178,
10,Jones Lang LaSalle / JLL**,91,1.801980198,
11,CBRE Group / CBRE**,90,1.782178218,
12,Ormat Technologies / ORA,89,1.762376238,
13,Exelon / EXC,88,1.742574257,
14,Tetra Tech / TTEK,87,1.722772277,
15,Deckers Outdoor / DECK**,86,1.702970297,
16,Arrow Electronics / ARW,85,1.683168317,
17,Kimberly-Clark / KMB,84,1.663366337,
18,Applied Materials / AMAT,83,1.643564356,
19,Analog Devices / ADI,82,1.623762376,
20,Ball Corp. / BALL,81,1.603960396,
21,Procter & Gamble / PG,80,1.584158416,
22,Republic Services / RSG,79,1.564356436,
23,Avery Dennison / AVY,78,1.544554455,
24,Eversource Energy / ES,77,1.524752475,
25,Agilent Technologies / A,76,1.504950495,
26,AptarGroup / ATR**,75,1.485148515,
27,Ecolab / ECL,74,1.465346535,
28,McCormick / MKC,73,1.445544554,
29,Public Service Enterprise Group / PEG**,72,1.425742574,
30,Nucor / NUE,71,1.405940594,
31,Cummins / CMI**,70,1.386138614,
32,Hexcel / HXL,69,1.366336634,
33,Ingredion / INGR**,68,1.346534653,
34,PTC / PTC,67,1.326732673,
35,International Flavors & Fragrances / IFF,66,1.306930693,
36,Regal Rexnord / RRX,65,1.287128713,
37,ON Semiconductor / ON,64,1.267326733,
38,Lennox International / LII**,63,1.247524752,
39,Hartford Financial Services Group / HIG**,62,1.227722772,
40,Oshkosh / OSK,61,1.207920792,
41,Nasdaq / NDAQ**,60,1.188118812,
42,Teradyne / TER,59,1.168316832,
43,MSCI / MSCI,58,1.148514851,
44,MarketAxess Holdings / MKTX,57,1.128712871,
45,Kroger / KR**,56,1.108910891,
46,Keysight Technologies / KEYS,55,1.089108911,
47,Cirrus Logic / CRUS,54,1.069306931,
48,Trex / TREX,53,1.04950495,
49,Rockwell Automation / ROK,52,1.02970297,
50,Avnet / AVT,51,1.00990099,
51,Hormel Foods / HRL,50,0.9900990099,
52,Automatic Data Processing / ADP**,49,0.9702970297,
53,Clean Harbors / CLH**,48,0.9504950495,
54,US Foods Holding / USFD**,47,0.9306930693,
55,LKQ / LKQ,46,0.9108910891,
56,Baker Hughes / BKR,45,0.8910891089,
57,Skyworks Solutions / SWKS,44,0.8712871287,
58,AGCO / AGCO,43,0.8514851485,
59,Texas Instruments / TXN,42,0.8316831683,
60,Avient / AVNT,41,0.8118811881,
61,Principal Financial Group / PFG,40,0.7920792079,
62,PPG Industries / PPG,39,0.7722772277,
63,Zurn Elkay Water Solutions / ZWS**,38,0.7524752475,
64,Robert Half / RHI,37,0.7326732673,
65,Waste Management / WM,36,0.7128712871,
66,Verisk Analytics / VRSK,35,0.6930693069,
67,KLA / KLAC,34,0.6732673267,
68,AZEK / AZEK,33,0.6534653465,
69,W.W. Grainger / GWW**,32,0.6336633663,
70,Cisco Systems / CSCO,31,0.6138613861,
71,Hewlett Packard Enterprise / HPE**,30,0.5940594059,
72,Idacorp / IDA,29,0.5742574257,
73,American States Water / AWR,28,0.5544554455,
74,Nvidia / NVDA**,27,0.5346534653,
75,First Solar / FSLR,26,0.5148514851,
76,Air Products and Chemicals / APD,25,0.495049505,
77,Estee Lauder / EL,24,0.4752475248,
78,Stanley Black & Decker / SWK,23,0.4554455446,
79,General Mills / GIS,22,0.4356435644,
80,Intel / INTC,21,0.4158415842,
81,Watts Water Technologies / WTS,20,0.396039604,
82,Graphic Packaging Holding / GPK,19,0.3762376238,
83,Consolidated Edison / ED,18,0.3564356436,
84,Carrier Global / CARR,17,0.3366336634,
85,Electronic Arts / EA,16,0.3168316832,
86,Campbell's / CPB,15,0.297029703,
87,Hologic / HOLX,14,0.2772277228,
88,Regions Financial / RF**,13,0.2574257426,
89,Core & Main / CNM**,12,0.2376237624,
90,Badger Meter / BMI**,11,0.2178217822,
91,Qualcomm / QCOM,10,0.198019802,
92,Best Buy / BBY,9,0.1782178218,
93,Morningstar / MORN,8,0.1584158416,
94,Ingersoll Rand / IR,7,0.1386138614,
95,Ansys / ANSS,6,0.1188118812,
96,Mastercard / MA,5,0.09900990099,
97,Williams-Sonoma / WSM**,4,0.07920792079,
98,Keurig Dr Pepper / KDP,3,0.05940594059,
99,New Jersey Resources / NJR,2,0.0396039604,
100,Synopsys / SNPS,1,0.0198019802,
