rank,company,score,percent,ticker
1,Biogen Idec,20,9.523809524,
2,Allergan,19,9.047619048,
3,Johnson & Johnson,18,8.571428571,
4,Coca-Cola Enterprises,17,8.095238095,
5,Sigma-Aldrich,16,7.619047619,
6,Ecolab,15,7.142857143,
7,General Mills,14,6.666666667,
8,Agilent Technologies,13,6.19047619,
9,Intel,12,5.714285714,
10,Adobe Systems,11,5.238095238,
11,Hess,10,4.761904762,
12,Cisco Systems,9,4.285714286,
13,Johnson Controls,8,3.80952381,
14,Colgate-Palmolive,7,3.333333333,
15,General Electric,6,2.857142857,
16,Campbell Soup,5,2.380952381,
17,Varian Medical Systems,4,1.904761905,
18,Baker Hughes,3,1.428571429,
19,Prologis,2,0.9523809524,
20,EMC,1,0.4761904762,
