rank,company,score,percent,ticker
1,Owens Corning,47,4.166666667,
2,Ingersoll Rand Inc.,46,4.078014184,
3,"Host Hotels & Resorts, Inc.",45,3.989361702,
4,Las Vegas Sands Corp.,44,3.90070922,
5,AbbVie Inc.,43,3.812056738,
6,Abbott Laboratories,42,3.723404255,
7,AngloGold Ashanti plc,41,3.634751773,
8,"BXP, Inc.",40,3.546099291,
9,Baker Hughes Company,39,3.457446809,
10,Ball Corporation,38,3.368794326,
11,"CBRE Group, Inc.",37,3.280141844,
12,Centene Corporation,36,3.191489362,
13,"Cisco Systems, Inc.",35,3.102836879,
14,"Digital Realty Trust, Inc.",34,3.014184397,
15,Ecolab Inc.,33,2.925531915,
16,Edwards Lifesciences Corporation,32,2.836879433,
17,"Energy Vault Holdings, Inc.",31,2.74822695,
18,Equity Residential,30,2.659574468,
19,Freeport-McMoRan Inc.,29,2.570921986,
20,"General Mills, Inc.",28,2.482269504,
21,"Healthpeak Properties, Inc.",27,2.393617021,
22,"HubSpot, Inc.",26,2.304964539,
23,"Illumina, Inc.",25,2.216312057,
24,International Flavors & Fragrances Inc.,24,2.127659574,
25,Iron Mountain Incorporated,23,2.039007092,
26,Jacobs Solutions Inc.,22,1.95035461,
27,Jones Lang LaSalle Incorporated,21,1.861702128,
28,Kimco Realty Corporation,20,1.773049645,
29,Newmont Corporation,19,1.684397163,
30,"Prologis, Inc.",18,1.595744681,
31,"Republic Services, Inc.",17,1.507092199,
32,"Rexford Industrial Realty, Inc.",16,1.418439716,
33,S&P Global Inc.,15,1.329787234,
34,SL Green Realty Corp.,14,1.241134752,
35,SLB N.V.,13,1.15248227,
36,Sempra,12,1.063829787,
37,"ServiceNow, Inc.",11,0.975177305,
38,Solenis LLC,10,0.8865248227,
39,Southern Copper Corporation,9,0.7978723404,
40,"The Williams Companies, Inc.",8,0.7092198582,
41,Union Pacific Corporation,7,0.6205673759,
42,"Veris Residential, Inc.",6,0.5319148936,
43,"Waste Management, Inc.",5,0.4432624113,
44,Waters Corporation,4,0.3546099291,
45,Weyerhaeuser Company,3,0.2659574468,
46,Whirlpool Corporation,2,0.1773049645,
47,eBay Inc.,1,0.08865248227,
