rank,company,score,percent,ticker
1,NASDAQ,116,1.709401709,
2,Illumina,115,1.694665488,
3,Biogen,114,1.679929266,
4,Mastercard,113,1.665193045,
5,"Merck & Co., Inc.",112,1.650456823,
6,Moody's,111,1.635720601,
7,Agilent Technologies,110,1.62098438,
8,Paypal,109,1.606248158,
9,Nvidia,108,1.591511936,
10,HP,107,1.576775715,
11,Hewlett Packard Enterprise,106,1.562039493,
12,Ford,105,1.547303271,
13,Applied Materials,104,1.53256705,
14,CBRE,103,1.517830828,
15,INTUIT,102,1.503094607,
16,Best Buy,101,1.488358385,
17,Visa,100,1.473622163,
18,McKinsey,99,1.458885942,
19,Qualcomm,98,1.44414972,
20,Cadence,97,1.429413498,
21,Adobe,96,1.414677277,
22,American Express,95,1.399941055,
23,Genpact,94,1.385204833,
24,Cushman & Wakefield,93,1.370468612,
25,Prologis,92,1.35573239,
26,Ingersoll Rand,91,1.340996169,
27,Keysight,90,1.326259947,
28,Autodesk,89,1.311523725,
29,Newmont,88,1.296787504,
30,Gilead Sciences,87,1.282051282,
31,AMN Healthcare Services,86,1.26731506,
32,bxp,85,1.252578839,
33,ServiceNow,84,1.237842617,
34,Hasbro,83,1.223106396,
35,Mettler-Toledo,82,1.208370174,
36,Digital Realty,81,1.193633952,
37,"Snap, Inc.",80,1.178897731,
38,Molson Coors,79,1.164161509,
39,Interpublic Group,78,1.149425287,
40,Bristol-Myers Squibb,77,1.134689066,
41,Analog Devices,76,1.119952844,
42,Juniper Networks,75,1.105216622,
43,HubSpot,74,1.090480401,
44,S&P Global,73,1.075744179,
45,Carrier,72,1.061007958,
46,Cisco,71,1.046271736,
47,Apple,70,1.031535514,
48,Amdocs,69,1.016799293,
49,Workday,68,1.002063071,
50,ManpowerGroup,67,0.9873268494,
51,BorgWarner,66,0.9725906278,
52,Equinix,65,0.9578544061,
53,Palo Alto Networks,64,0.9431181845,
54,Las Vegas Sands,63,0.9283819629,
55,Aptar,62,0.9136457412,
56,PVH,61,0.8989095196,
57,Ciena,60,0.884173298,
58,Synopsys,59,0.8694370763,
59,Cigna,58,0.8547008547,
60,Dell,57,0.8399646331,
61,Iqvia,56,0.8252284114,
62,Ralph Lauren,55,0.8104921898,
63,Regeneron,54,0.7957559682,
64,Host Hotels & Resorts,53,0.7810197465,
65,Dolby Laboratories,52,0.7662835249,
66,Avery Dennison,51,0.7515473033,
67,Otis,50,0.7368110816,
68,First Solar,49,0.72207486,
69,Keurig Dr Pepper,48,0.7073386384,
70,AbbVie,47,0.6926024167,
71,Iron Mountain,46,0.6778661951,
72,T-Mobile US,45,0.6631299735,
73,Welltower,44,0.6483937518,
74,eBay,43,0.6336575302,
75,Thermo Fisher Scientific,42,0.6189213086,
76,Uber,41,0.6041850869,
77,Zillow,40,0.5894488653,
78,Salesforce,39,0.5747126437,
79,EXL Service,38,0.559976422,
80,KLA,37,0.5452402004,
81,Jacobs Engineering,36,0.5305039788,
82,Charles River Laboratories,35,0.5157677571,
83,Etsy,34,0.5010315355,
84,Verizon,33,0.4862953139,
85,Lam Research,32,0.4715590922,
86,JLL,31,0.4568228706,
87,Marvell Technology,30,0.442086649,
88,Xerox,29,0.4273504274,
89,Cencora,28,0.4126142057,
90,Microsoft,27,0.3978779841,
91,Waters Corp,26,0.3831417625,
92,Deere & Company,25,0.3684055408,
93,Viatris,24,0.3536693192,
94,Kyndryl,23,0.3389330976,
95,Church & Dwight,22,0.3241968759,
96,Danaher,21,0.3094606543,
97,Carter's,20,0.2947244327,
98,Marsh & McLennan Companies,19,0.279988211,
99,Regency Centers,18,0.2652519894,
100,MetLife,17,0.2505157678,
101,MGM Resorts International,16,0.2357795461,
102,Xylem,15,0.2210433245,
103,Cognizant Technology Solutions Corp,14,0.2063071029,
104,DaVita,13,0.1915708812,
105,Vontier,12,0.1768346596,
106,Whirlpool,11,0.162098438,
107,United Natural Foods,10,0.1473622163,
108,AT&T,9,0.1326259947,
109,Corning,8,0.1178897731,
110,Sunrun,7,0.1031535514,
111,American Axle & Manufacturing,6,0.0884173298,
112,Rexford Industrial,5,0.07368110816,
113,Guess,4,0.05894488653,
114,Humana,3,0.0442086649,
115,Weyerhaeuser,2,0.02947244327,
116,Gartner,1,0.01473622163,
