rank,company,score,percent,ticker,rrf
1,Biogen,20,9.523809524,BIIB,0.01639344262295082
2,Johnson & Johnson,18,8.571428571,JNJ,0.016129032258064516
3,Ecolab,15,7.142857143,ECL,0.015873015873015872
4,General Mills,14,6.666666667,GIS,0.015625
5,Agilent Technologies,13,6.19047619,A,0.015384615384615385
6,Intel,12,5.714285714,INTC,0.015151515151515152
7,Cisco,9,4.285714286,CSCO,0.014925373134328358
8,Johnson Controls,8,3.80952381,JCI,0.014705882352941176
9,Colgate-Palmolive,7,3.333333333,CL,0.014492753623188406
10,Generac,6,2.857142857,GNRC,0.014285714285714285
11,Baker Hughes,3,1.428571429,BKR,0.014084507042253521
12,Prologis,2,0.9523809524,PLD,0.013888888888888888
