company,rrf
AES Corporation,0.010869565217391304
AT&T,0.006993006993006993
AbbVie,0.024320652173913042
Abbott Laboratories,0.015384615384615385
Adobe Inc.,0.049002796961054675
Agilent Technologies,0.043427458617332035
Air Products,0.00909090909090909
Alphabet Inc. (Class A),0.01098901098901099
Amazon,0.01639344262295082
American Express,0.022166307213036182
American International Group,0.010752688172043012
American Water Works,0.01
Ameriprise Financial,0.011494252873563218
Analog Devices,0.024039829302987197
Aon plc,0.015151515151515152
Apple Inc.,0.025726010101010104
Applied Materials,0.027783137179239824
Arch Capital Group,0.015873015873015872
Autodesk,0.02792120864410021
Automatic Data Processing,0.010638297872340425
Avery Dennison,0.021996021996022
"BXP, Inc.",0.014925373134328358
Baker Hughes,0.03893082827940116
Ball Corporation,0.014492753623188406
Best Buy,0.021895351448461713
Biogen,0.03278688524590164
Booking Holdings,0.011235955056179775
Bristol Myers Squibb,0.010638297872340425
Brown & Brown,0.007407407407407408
CBRE Group,0.04266735679779158
Cadence Design Systems,0.028083267871170464
Campbell's Company (The),0.00847457627118644
Carrier Global,0.01892996800568788
Cencora,0.0078125
Centene Corporation,0.014084507042253521
Charles River Laboratories,0.008
Church & Dwight,0.007518796992481203
Ciena,0.009615384615384616
Cigna,0.009433962264150943
Cisco,0.06302854475123383
Clorox,0.01639344262295082
Cognizant,0.007142857142857143
Colgate-Palmolive,0.014285714285714285
Consolidated Edison,0.008695652173913044
Constellation Energy,0.015384615384615385
Corning Inc.,0.022569444444444444
Cummins,0.012048192771084338
DaVita,0.0070921985815602835
Danaher Corporation,0.007462686567164179
Deckers Brands,0.014084507042253521
Deere & Company,0.007633587786259542
Dell Technologies,0.009345794392523364
Digital Realty,0.024809741248097414
EOG Resources,0.007936507936507936
EPAM Systems,0.013888888888888888
Ecolab,0.041886529386529384
Edwards Lifesciences,0.013333333333333334
Electronic Arts,0.008547008547008548
Equinix,0.009900990099009901
Equity Residential,0.012987012987012988
Estée Lauder Companies (The),0.009009009009009009
Eversource Energy,0.01282051282051282
Exelon,0.014285714285714285
Fidelity National Information Services,0.011627906976744186
First Solar,0.0180238694487294
Ford Motor Company,0.014285714285714285
Freeport-McMoRan,0.01282051282051282
Gartner,0.006802721088435374
Generac,0.014084507042253521
General Mills,0.024474557522123894
Gilead Sciences,0.011764705882352941
HP Inc.,0.014705882352941176
Hasbro,0.011363636363636364
Healthpeak Properties,0.012658227848101266
Hewlett Packard Enterprise,0.02392671588733935
Hologic,0.008403361344537815
Hormel Foods,0.017794941693169773
Host Hotels & Resorts,0.025219941348973606
Hubbell Incorporated,0.012048192771084338
Humana,0.006896551724137931
IBM,0.015384615384615385
Ingersoll Rand,0.03686920293610951
Intel,0.023923444976076555
International Flavors & Fragrances,0.03706298975286317
Iron Mountain,0.020966368667518092
Jacobs Solutions,0.012195121951219513
Johnson & Johnson,0.016129032258064516
Johnson Controls,0.014492753623188406
KLA Corporation,0.017773253993109927
Keurig Dr Pepper,0.016771929824561403
Keysight Technologies,0.0231841329402305
Kimberly-Clark,0.013888888888888888
Kimco Realty,0.011904761904761904
Kroger,0.011111111111111112
Lam Research,0.023025530899546648
Las Vegas Sands,0.02558175373709354
Lennox International,0.011627906976744186
MGM Resorts,0.007246376811594203
Mastercard,0.024193548387096774
Merck & Co.,0.015873015873015872
MetLife,0.02222464320732106
Mettler Toledo,0.011235955056179775
Microsoft,0.02388097024256064
Molson Coors Beverage Company,0.010869565217391304
Moody's Corporation,0.015625
Newmont,0.023669467787114845
Nucor,0.012195121951219513
Nvidia,0.02418463239358762
ON Semiconductor,0.011764705882352941
Oracle Corporation,0.014925373134328358
Otis Worldwide,0.008928571428571428
PPG Industries,0.010101010101010102
Packaging Corporation of America,0.010309278350515464
Palo Alto Networks,0.00980392156862745
PayPal,0.015151515151515152
Principal Financial Group,0.01020408163265306
Procter & Gamble,0.013333333333333334
Prologis,0.037641420490257704
Prudential Financial,0.016129032258064516
Public Service Enterprise Group,0.02047576031315869
Qualcomm,0.02159779614325069
Ralph Lauren Corporation,0.009259259259259259
Regency Centers,0.007352941176470588
Regeneron Pharmaceuticals,0.009174311926605505
Republic Services,0.013157894736842105
Rockwell Automation,0.010869565217391304
S&P Global,0.03635850407578762
Salesforce,0.00819672131147541
Sempra,0.011111111111111112
ServiceNow,0.02248326386257421
Skyworks Solutions,0.010416666666666666
Stanley Black & Decker,0.008928571428571428
Synopsys,0.01739782527184102
T-Mobile US,0.008547008547008548
Teradyne,0.011363636363636364
"Tesla, Inc.",0.015151515151515152
Texas Instruments,0.010309278350515464
Thermo Fisher Scientific,0.008333333333333333
Truist Financial,0.008333333333333333
Uber,0.008264462809917356
Union Pacific Corporation,0.010638297872340425
Verisk Analytics,0.00980392156862745
Verizon,0.007936507936507936
Viatris,0.007575757575757576
Visa Inc.,0.013513513513513514
W. W. Grainger,0.009615384615384616
Waste Management,0.009900990099009901
Waters Corporation,0.018218623481781375
Welltower,0.00847457627118644
Weyerhaeuser,0.017265981735159815
Williams Companies,0.010752688172043012
"Workday, Inc.",0.01
Xylem Inc.,0.007194244604316547
eBay Inc.,0.018607442977190875
