company,ticker,rrf
AT&T,T,0.007352941176470588
AbbVie,ABBV,0.024634009009009007
Abbott Laboratories,ABT,0.015384615384615385
Adobe Inc.,ADBE,0.012987012987012988
Agilent Technologies,A,0.04375624375624376
Air Products,APD,0.009523809523809525
Amazon,AMZN,0.016129032258064516
American Express,AXP,0.01282051282051282
Analog Devices,ADI,0.02487789987789988
Apple Inc.,AAPL,0.025910931174089068
Applied Materials,AMAT,0.028169014084507043
Autodesk,ADSK,0.027820121951219513
Automatic Data Processing,ADP,0.01098901098901099
Avery Dennison,AVY,0.022679127725856698
"BXP, Inc.",BXP,0.015151515151515152
Baker Hughes,BKR,0.03987944539397319
Ball Corporation,BALL,0.014705882352941176
Best Buy,BBY,0.022319319792158714
Biogen,BIIB,0.03278688524590164
Booking Holdings,BKNG,0.011627906976744186
Bristol Myers Squibb,BMY,0.011111111111111112
CBRE Group,CBRE,0.043307015646405655
Cadence Design Systems,CDNS,0.013157894736842105
Campbell's Company (The),CPB,0.008849557522123894
Carrier Global,CARR,0.019761697181052022
Cencora,COR,0.008130081300813009
Centene Corporation,CNC,0.014285714285714285
Charles River Laboratories,CRL,0.008333333333333333
Church & Dwight,CHD,0.0078125
Ciena,CIEN,0.01
Cigna,CI,0.00980392156862745
Cisco,CSCO,0.06404192177112061
Clorox,CLX,0.01639344262295082
Cognizant,CTSH,0.007462686567164179
Colgate-Palmolive,CL,0.014492753623188406
Consolidated Edison,ED,0.00909090909090909
Constellation Energy,CEG,0.015873015873015872
Corning Inc.,GLW,0.0072992700729927005
Cummins,CMI,0.012345679012345678
DaVita,DVA,0.007407407407407408
Danaher Corporation,DHR,0.007751937984496124
Deckers Brands,DECK,0.014492753623188406
Deere & Company,DE,0.007936507936507936
Dell Technologies,DELL,0.009708737864077669
Digital Realty,DLR,0.025252525252525252
Ecolab,ECL,0.04239215883051499
Edwards Lifesciences,EW,0.013513513513513514
Electronic Arts,EA,0.008928571428571428
Equinix,EQIX,0.010309278350515464
Equity Residential,EQR,0.013333333333333334
Estée Lauder Companies (The),EL,0.009433962264150943
Eversource Energy,ES,0.013157894736842105
Exelon,EXC,0.014705882352941176
First Solar,FSLR,0.01878969654199012
Ford Motor Company,F,0.014285714285714285
Freeport-McMoRan,FCX,0.013157894736842105
Gartner,IT,0.007142857142857143
Generac,GNRC,0.014285714285714285
General Mills,GIS,0.02488425925925926
Gilead Sciences,GILD,0.011904761904761904
HP Inc.,HPQ,0.014705882352941176
Hasbro,HAS,0.011627906976744186
