rank,company,score,percent,ticker,rrf
1,Ingersoll Rand,46,4.078014184,IR,0.01639344262295082
2,Host Hotels & Resorts,45,3.989361702,HST,0.016129032258064516
3,Las Vegas Sands,44,3.90070922,LVS,0.015873015873015872
4,AbbVie,43,3.812056738,ABBV,0.015625
5,Abbott Laboratories,42,3.723404255,ABT,0.015384615384615385
6,"BXP, Inc.",40,3.546099291,BXP,0.015151515151515152
7,Baker Hughes,39,3.457446809,BKR,0.014925373134328358
8,Ball Corporation,38,3.368794326,BALL,0.014705882352941176
9,CBRE Group,37,3.280141844,CBRE,0.014492753623188406
10,Centene Corporation,36,3.191489362,CNC,0.014285714285714285
11,Cisco,35,3.102836879,CSCO,0.014084507042253521
12,Digital Realty,34,3.014184397,DLR,0.013888888888888888
13,Ecolab,33,2.925531915,ECL,0.0136986301369863
14,Edwards Lifesciences,32,2.836879433,EW,0.013513513513513514
15,Equity Residential,30,2.659574468,EQR,0.013333333333333334
16,Freeport-McMoRan,29,2.570921986,FCX,0.013157894736842105
17,Healthpeak Properties,27,2.393617021,DOC,0.012987012987012988
18,International Flavors & Fragrances,24,2.127659574,IFF,0.01282051282051282
19,Iron Mountain,23,2.039007092,IRM,0.012658227848101266
20,Jacobs Solutions,22,1.95035461,J,0.0125
21,Kimco Realty,20,1.773049645,KIM,0.012345679012345678
22,Newmont,19,1.684397163,NEM,0.012195121951219513
23,Prologis,18,1.595744681,PLD,0.012048192771084338
24,S&P Global,15,1.329787234,SPGI,0.011904761904761904
25,Sempra,12,1.063829787,SRE,0.011764705882352941
26,ServiceNow,11,0.975177305,NOW,0.011627906976744186
27,Williams Companies,8,0.7092198582,WMB,0.011494252873563218
28,Union Pacific Corporation,7,0.6205673759,UNP,0.011363636363636364
29,Waters Corporation,4,0.3546099291,WAT,0.011235955056179775
30,Weyerhaeuser,3,0.2659574468,WY,0.011111111111111112
31,eBay Inc.,1,0.08865248227,EBAY,0.01098901098901099
