rank,company,score,percent,ticker
2,Ingersoll Rand,46,4.078014184,IR
3,Host Hotels & Resorts,45,3.989361702,HST
4,Las Vegas Sands,44,3.90070922,LVS
5,AbbVie,43,3.812056738,ABBV
6,Abbott Laboratories,42,3.723404255,ABT
7,Aon plc,41,3.634751773,AON
8,"BXP, Inc.",40,3.546099291,BXP
9,Baker Hughes,39,3.457446809,BKR
10,Ball Corporation,38,3.368794326,BALL
11,CBRE Group,37,3.280141844,CBRE
12,Centene Corporation,36,3.191489362,CNC
13,Cisco,35,3.102836879,CSCO
14,Digital Realty,34,3.014184397,DLR
15,Ecolab,33,2.925531915,ECL
16,Edwards Lifesciences,32,2.836879433,EW
17,Adobe Inc.,31,2.74822695,ADBE
18,Equity Residential,30,2.659574468,EQR
19,Freeport-McMoRan,29,2.570921986,FCX
20,Adobe Inc.,28,2.482269504,ADBE
21,Healthpeak Properties,27,2.393617021,DOC
22,Alphabet Inc. (Class A),26,2.304964539,GOOGL
23,Alphabet Inc. (Class A),25,2.216312057,GOOGL
24,International Flavors & Fragrances,24,2.127659574,IFF
25,Iron Mountain,23,2.039007092,IRM
26,Jacobs Solutions,22,1.95035461,J
27,Hubbell Incorporated,21,1.861702128,HUBB
28,Kimco Realty,20,1.773049645,KIM
29,Newmont,19,1.684397163,NEM
30,Prologis,18,1.595744681,PLD
31,Adobe Inc.,17,1.507092199,ADBE
32,Adobe Inc.,16,1.418439716,ADBE
33,S&P Global,15,1.329787234,SPGI
34,Digital Realty,14,1.241134752,DLR
36,Sempra,12,1.063829787,SRE
37,ServiceNow,11,0.975177305,NOW
39,AES Corporation,9,0.7978723404,AES
40,Williams Companies,8,0.7092198582,WMB
41,Union Pacific Corporation,7,0.6205673759,UNP
42,Adobe Inc.,6,0.5319148936,ADBE
43,Adobe Inc.,5,0.4432624113,ADBE
44,Waters Corporation,4,0.3546099291,WAT
45,Weyerhaeuser,3,0.2659574468,WY
46,Packaging Corporation of America,2,0.1773049645,PKG
47,eBay Inc.,1,0.08865248227,EBAY
