rank,company,score,percent,ticker,rrf
1,Biogen,114,1.679929266,BIIB,0.01639344262295082
2,Mastercard,113,1.665193045,MA,0.016129032258064516
3,Merck & Co.,112,1.650456823,MRK,0.015873015873015872
4,Moody's Corporation,111,1.635720601,MCO,0.015625
5,Agilent Technologies,110,1.62098438,A,0.015384615384615385
6,PayPal,109,1.606248158,PYPL,0.015151515151515152
7,Nvidia,108,1.591511936,NVDA,0.014925373134328358
8,HP Inc.,107,1.576775715,HPQ,0.014705882352941176
9,Hewlett Packard Enterprise,106,1.562039493,HPE,0.014492753623188406
10,Ford Motor Company,105,1.547303271,F,0.014285714285714285
11,Applied Materials,104,1.53256705,AMAT,0.014084507042253521
12,CBRE Group,103,1.517830828,CBRE,0.013888888888888888
13,Best Buy,101,1.488358385,BBY,0.0136986301369863
14,Visa Inc.,100,1.473622163,V,0.013513513513513514
15,Qualcomm,98,1.44414972,QCOM,0.013333333333333334
16,Cadence Design Systems,97,1.429413498,CDNS,0.013157894736842105
17,Adobe Inc.,96,1.414677277,ADBE,0.012987012987012988
18,American Express,95,1.399941055,AXP,0.01282051282051282
19,Prologis,92,1.35573239,PLD,0.012658227848101266
20,Ingersoll Rand,91,1.340996169,IR,0.0125
21,Keysight Technologies,90,1.326259947,KEYS,0.012345679012345678
22,Autodesk,89,1.311523725,ADSK,0.012195121951219513
23,Newmont,88,1.296787504,NEM,0.012048192771084338
24,Gilead Sciences,87,1.282051282,GILD,0.011904761904761904
25,ServiceNow,84,1.237842617,NOW,0.011764705882352941
26,Hasbro,83,1.223106396,HAS,0.011627906976744186
27,Mettler Toledo,82,1.208370174,MTD,0.011494252873563218
28,Digital Realty,81,1.193633952,DLR,0.011363636363636364
29,Molson Coors Beverage Company,79,1.164161509,TAP,0.011235955056179775
30,Bristol Myers Squibb,77,1.134689066,BMY,0.011111111111111112
31,Analog Devices,76,1.119952844,ADI,0.01098901098901099
32,S&P Global,73,1.075744179,SPGI,0.010869565217391304
33,Carrier Global,72,1.061007958,CARR,0.010752688172043012
34,Cisco,71,1.046271736,CSCO,0.010638297872340425
35,Apple Inc.,70,1.031535514,AAPL,0.010526315789473684
36,"Workday, Inc.",68,1.002063071,WDAY,0.010416666666666666
37,Equinix,65,0.9578544061,EQIX,0.010309278350515464
38,Palo Alto Networks,64,0.9431181845,PANW,0.01020408163265306
39,Las Vegas Sands,63,0.9283819629,LVS,0.010101010101010102
40,Ciena,60,0.884173298,CIEN,0.01
41,Synopsys,59,0.8694370763,SNPS,0.009900990099009901
42,Cigna,58,0.8547008547,CI,0.00980392156862745
43,Dell Technologies,57,0.8399646331,DELL,0.009708737864077669
44,Ralph Lauren Corporation,55,0.8104921898,RL,0.009615384615384616
45,Regeneron Pharmaceuticals,54,0.7957559682,REGN,0.009523809523809525
46,Host Hotels & Resorts,53,0.7810197465,HST,0.009433962264150943
47,Avery Dennison,51,0.7515473033,AVY,0.009345794392523364
48,Otis Worldwide,50,0.7368110816,OTIS,0.009259259259259259
49,First Solar,49,0.72207486,FSLR,0.009174311926605505
50,Keurig Dr Pepper,48,0.7073386384,KDP,0.00909090909090909
51,AbbVie,47,0.6926024167,ABBV,0.009009009009009009
52,Iron Mountain,46,0.6778661951,IRM,0.008928571428571428
53,T-Mobile US,45,0.6631299735,TMUS,0.008849557522123894
54,Welltower,44,0.6483937518,WELL,0.008771929824561403
55,eBay Inc.,43,0.6336575302,EBAY,0.008695652173913044
56,Thermo Fisher Scientific,42,0.6189213086,TMO,0.008620689655172414
57,Uber,41,0.6041850869,UBER,0.008547008547008548
58,Salesforce,39,0.5747126437,CRM,0.00847457627118644
59,KLA Corporation,37,0.5452402004,KLAC,0.008403361344537815
60,Charles River Laboratories,35,0.5157677571,CRL,0.008333333333333333
61,Verizon,33,0.4862953139,VZ,0.008264462809917356
62,Lam Research,32,0.4715590922,LRCX,0.00819672131147541
63,Cencora,28,0.4126142057,COR,0.008130081300813009
64,Microsoft,27,0.3978779841,MSFT,0.008064516129032258
65,Waters Corporation,26,0.3831417625,WAT,0.008
66,Deere & Company,25,0.3684055408,DE,0.007936507936507936
67,Viatris,24,0.3536693192,VTRS,0.007874015748031496
68,Church & Dwight,22,0.3241968759,CHD,0.0078125
69,Danaher Corporation,21,0.3094606543,DHR,0.007751937984496124
70,Regency Centers,18,0.2652519894,REG,0.007692307692307693
71,MetLife,17,0.2505157678,MET,0.007633587786259542
72,MGM Resorts,16,0.2357795461,MGM,0.007575757575757576
73,Xylem Inc.,15,0.2210433245,XYL,0.007518796992481203
74,Cognizant,14,0.2063071029,CTSH,0.007462686567164179
75,DaVita,13,0.1915708812,DVA,0.007407407407407408
76,AT&T,9,0.1326259947,T,0.007352941176470588
77,Corning Inc.,8,0.1178897731,GLW,0.0072992700729927005
78,Humana,3,0.0442086649,HUM,0.007246376811594203
79,Weyerhaeuser,2,0.02947244327,WY,0.007194244604316547
80,Gartner,1,0.01473622163,IT,0.007142857142857143
