rank,company,score,percent,ticker
3,Biogen,114,1.679929266,BIIB
4,Mastercard,113,1.665193045,MA
5,Merck & Co.,112,1.650456823,MRK
6,Moody's Corporation,111,1.635720601,MCO
7,Agilent Technologies,110,1.62098438,A
8,PayPal,109,1.606248158,PYPL
9,Nvidia,108,1.591511936,NVDA
10,HP Inc.,107,1.576775715,HPQ
11,Hewlett Packard Enterprise,106,1.562039493,HPE
12,Ford Motor Company,105,1.547303271,F
13,Applied Materials,104,1.53256705,AMAT
14,CBRE Group,103,1.517830828,CBRE
16,Best Buy,101,1.488358385,BBY
17,Visa Inc.,100,1.473622163,V
19,Qualcomm,98,1.44414972,QCOM
20,Cadence Design Systems,97,1.429413498,CDNS
21,Adobe Inc.,96,1.414677277,ADBE
22,American Express,95,1.399941055,AXP
25,Prologis,92,1.35573239,PLD
26,Ingersoll Rand,91,1.340996169,IR
27,Keysight Technologies,90,1.326259947,KEYS
28,Autodesk,89,1.311523725,ADSK
29,Newmont,88,1.296787504,NEM
30,Gilead Sciences,87,1.282051282,GILD
33,ServiceNow,84,1.237842617,NOW
34,Hasbro,83,1.223106396,HAS
35,Mettler Toledo,82,1.208370174,MTD
36,Digital Realty,81,1.193633952,DLR
38,Molson Coors Beverage Company,79,1.164161509,TAP
40,Bristol Myers Squibb,77,1.134689066,BMY
41,Analog Devices,76,1.119952844,ADI
44,S&P Global,73,1.075744179,SPGI
45,Carrier Global,72,1.061007958,CARR
46,Cisco,71,1.046271736,CSCO
47,Apple Inc.,70,1.031535514,AAPL
49,"Workday, Inc.",68,1.002063071,WDAY
52,Equinix,65,0.9578544061,EQIX
53,Palo Alto Networks,64,0.9431181845,PANW
54,Las Vegas Sands,63,0.9283819629,LVS
57,Ciena,60,0.884173298,CIEN
58,Synopsys,59,0.8694370763,SNPS
59,Cigna,58,0.8547008547,CI
60,Dell Technologies,57,0.8399646331,DELL
62,Ralph Lauren Corporation,55,0.8104921898,RL
63,Regeneron Pharmaceuticals,54,0.7957559682,REGN
64,Host Hotels & Resorts,53,0.7810197465,HST
66,Avery Dennison,51,0.7515473033,AVY
67,Otis Worldwide,50,0.7368110816,OTIS
68,First Solar,49,0.72207486,FSLR
69,Keurig Dr Pepper,48,0.7073386384,KDP
70,AbbVie,47,0.6926024167,ABBV
71,Iron Mountain,46,0.6778661951,IRM
72,T-Mobile US,45,0.6631299735,TMUS
73,Welltower,44,0.6483937518,WELL
74,eBay Inc.,43,0.6336575302,EBAY
75,Thermo Fisher Scientific,42,0.6189213086,TMO
76,Uber,41,0.6041850869,UBER
78,Salesforce,39,0.5747126437,CRM
80,KLA Corporation,37,0.5452402004,KLAC
82,Charles River Laboratories,35,0.5157677571,CRL
84,Verizon,33,0.4862953139,VZ
85,Lam Research,32,0.4715590922,LRCX
89,Cencora,28,0.4126142057,COR
90,Microsoft,27,0.3978779841,MSFT
91,Waters Corporation,26,0.3831417625,WAT
92,Deere & Company,25,0.3684055408,DE
93,Viatris,24,0.3536693192,VTRS
95,Church & Dwight,22,0.3241968759,CHD
96,Danaher Corporation,21,0.3094606543,DHR
99,Regency Centers,18,0.2652519894,REG
100,MetLife,17,0.2505157678,MET
101,MGM Resorts,16,0.2357795461,MGM
102,Xylem Inc.,15,0.2210433245,XYL
103,Cognizant,14,0.2063071029,CTSH
104,DaVita,13,0.1915708812,DVA
108,AT&T,9,0.1326259947,T
109,Corning Inc.,8,0.1178897731,GLW
114,Humana,3,0.0442086649,HUM
115,Weyerhaeuser,2,0.02947244327,WY
116,Gartner,1,0.01473622163,IT
